 Date,SPX Close,SPX Adj. Close
6/15/2020,"3,028.00","3,028.00"
5/29/2020,"3,044.31","3,044.31"
4/30/2020,"2,912.43","2,912.43"
3/31/2020,"2,584.59","2,584.59"
2/28/2020,"2,954.22","2,954.22"
1/31/2020,"3,226.98","3,226.98"
12/31/2019,"3,227.57","3,227.57"
11/29/2019,"3,143.62","3,143.62"
10/31/2019,"3,037.56","3,037.56"
9/30/2019,"2,976.74","2,976.74"
8/30/2019,"2,926.46","2,926.46"
7/31/2019,"2,980.38","2,980.38"
6/28/2019,"2,941.76","2,941.76"
5/31/2019,"2,752.06","2,752.06"
5/30/2019,"2,788.86","2,788.86"
4/30/2019,"2,945.83","2,945.83"
3/29/2019,"2,834.40","2,834.40"
2/28/2019,"2,784.49","2,784.49"
1/31/2019,"2,704.10","2,704.10"
12/31/2018,"2,506.85","2,506.85"
11/30/2018,"2,760.17","2,760.17"
10/31/2018,"2,711.74","2,711.74"
9/28/2018,"2,913.98","2,913.98"
8/31/2018,"2,901.52","2,901.52"
7/31/2018,"2,816.29","2,816.29"
6/29/2018,"2,718.37","2,718.37"
5/31/2018,"2,705.27","2,705.27"
4/30/2018,"2,648.05","2,648.05"
3/29/2018,"2,640.87","2,640.87"
2/28/2018,"2,713.83","2,713.83"
1/31/2018,"2,823.81","2,823.81"
12/29/2017,"2,673.61","2,673.61"
11/30/2017,"2,647.58","2,647.58"
10/31/2017,"2,575.26","2,575.26"
9/29/2017,"2,519.36","2,519.36"
8/31/2017,"2,471.65","2,471.65"
7/31/2017,"2,470.30","2,470.30"
6/30/2017,"2,423.41","2,423.41"
5/31/2017,"2,411.80","2,411.80"
4/28/2017,"2,384.20","2,384.20"
3/31/2017,"2,362.72","2,362.72"
2/28/2017,"2,363.64","2,363.64"
1/31/2017,"2,278.87","2,278.87"
12/30/2016,"2,238.83","2,238.83"
11/30/2016,"2,198.81","2,198.81"
10/31/2016,"2,126.15","2,126.15"
9/30/2016,"2,168.27","2,168.27"
8/31/2016,"2,170.95","2,170.95"
7/29/2016,"2,173.60","2,173.60"
6/30/2016,"2,098.86","2,098.86"
5/31/2016,"2,096.96","2,096.96"
4/29/2016,"2,065.30","2,065.30"
3/31/2016,"2,059.74","2,059.74"
2/29/2016,"1,932.23","1,932.23"
1/29/2016,"1,940.24","1,940.24"
12/31/2015,"2,043.94","2,043.94"
11/30/2015,"2,080.41","2,080.41"
10/30/2015,"2,079.36","2,079.36"
9/30/2015,"1,920.03","1,920.03"
8/31/2015,"1,972.18","1,972.18"
7/31/2015,"2,103.84","2,103.84"
6/30/2015,"2,063.11","2,063.11"
5/29/2015,"2,107.39","2,107.39"
4/30/2015,"2,085.51","2,085.51"
3/31/2015,"2,067.89","2,067.89"
2/27/2015,"2,104.50","2,104.50"
1/30/2015,"1,994.99","1,994.99"
12/31/2014,"2,058.90","2,058.90"
11/28/2014,"2,067.56","2,067.56"
10/31/2014,"2,018.05","2,018.05"
9/30/2014,"1,972.29","1,972.29"
8/29/2014,"2,003.37","2,003.37"
7/31/2014,"1,930.67","1,930.67"
6/30/2014,"1,960.23","1,960.23"
5/30/2014,"1,923.57","1,923.57"
4/30/2014,"1,883.95","1,883.95"
3/31/2014,"1,872.34","1,872.34"
2/28/2014,"1,859.45","1,859.45"
1/31/2014,"1,782.59","1,782.59"
12/31/2013,"1,848.36","1,848.36"
11/29/2013,"1,805.81","1,805.81"
10/31/2013,"1,756.54","1,756.54"
9/30/2013,"1,681.55","1,681.55"
8/30/2013,"1,632.97","1,632.97"
7/31/2013,"1,685.73","1,685.73"
6/28/2013,"1,606.28","1,606.28"
5/31/2013,"1,630.74","1,630.74"
4/30/2013,"1,597.57","1,597.57"
3/28/2013,"1,569.19","1,569.19"
2/28/2013,"1,514.68","1,514.68"
1/31/2013,"1,498.11","1,498.11"
12/31/2012,"1,426.19","1,426.19"
11/30/2012,"1,416.18","1,416.18"
10/31/2012,"1,412.16","1,412.16"
9/28/2012,"1,440.67","1,440.67"
8/31/2012,"1,406.58","1,406.58"
7/31/2012,"1,379.32","1,379.32"
6/29/2012,"1,362.16","1,362.16"
5/31/2012,"1,310.33","1,310.33"
4/30/2012,"1,397.91","1,397.91"
3/30/2012,"1,408.47","1,408.47"
2/29/2012,"1,365.68","1,365.68"
1/31/2012,"1,312.41","1,312.41"
12/30/2011,"1,257.60","1,257.60"
11/30/2011,"1,246.96","1,246.96"
10/31/2011,"1,253.30","1,253.30"
9/30/2011,"1,131.42","1,131.42"
8/31/2011,"1,218.89","1,218.89"
7/29/2011,"1,292.28","1,292.28"
6/30/2011,"1,320.64","1,320.64"
5/31/2011,"1,345.20","1,345.20"
4/29/2011,"1,363.61","1,363.61"
3/31/2011,"1,325.83","1,325.83"
2/28/2011,"1,327.22","1,327.22"
1/31/2011,"1,286.12","1,286.12"
12/31/2010,"1,257.64","1,257.64"
11/30/2010,"1,180.55","1,180.55"
10/29/2010,"1,183.26","1,183.26"
9/30/2010,"1,141.20","1,141.20"
8/31/2010,"1,049.33","1,049.33"
7/30/2010,"1,101.60","1,101.60"
6/30/2010,"1,030.71","1,030.71"
5/28/2010,"1,089.41","1,089.41"
4/30/2010,"1,186.69","1,186.69"
3/31/2010,"1,169.43","1,169.43"
2/26/2010,"1,104.49","1,104.49"
1/29/2010,"1,073.87","1,073.87"
12/31/2009,"1,115.10","1,115.10"
11/30/2009,"1,095.63","1,095.63"
10/30/2009,"1,036.19","1,036.19"
9/30/2009,"1,057.08","1,057.08"
8/31/2009,"1,020.62","1,020.62"
7/31/2009,987.48,987.48
6/30/2009,919.32,919.32
5/29/2009,919.14,919.14
4/30/2009,872.81,872.81
3/31/2009,797.87,797.87
2/27/2009,735.09,735.09
1/30/2009,825.88,825.88
12/31/2008,903.25,903.25
11/28/2008,896.24,896.24
10/31/2008,968.75,968.75
9/30/2008,"1,166.36","1,166.36"
8/29/2008,"1,282.83","1,282.83"
7/31/2008,"1,267.38","1,267.38"
6/30/2008,"1,280.00","1,280.00"
5/30/2008,"1,400.38","1,400.38"
4/30/2008,"1,385.59","1,385.59"
3/31/2008,"1,322.70","1,322.70"
2/29/2008,"1,330.63","1,330.63"
1/31/2008,"1,378.55","1,378.55"
12/31/2007,"1,468.36","1,468.36"
11/30/2007,"1,481.14","1,481.14"
10/31/2007,"1,549.38","1,549.38"
9/28/2007,"1,526.75","1,526.75"
8/31/2007,"1,473.99","1,473.99"
7/31/2007,"1,455.27","1,455.27"
6/29/2007,"1,503.35","1,503.35"
5/31/2007,"1,530.62","1,530.62"
4/30/2007,"1,482.37","1,482.37"
3/30/2007,"1,420.86","1,420.86"
2/28/2007,"1,406.82","1,406.82"
1/31/2007,"1,438.24","1,438.24"
12/29/2006,"1,418.30","1,418.30"
11/30/2006,"1,400.63","1,400.63"
10/31/2006,"1,377.94","1,377.94"
9/29/2006,"1,335.85","1,335.85"
8/31/2006,"1,303.82","1,303.82"
7/31/2006,"1,276.66","1,276.66"
6/30/2006,"1,270.20","1,270.20"
5/31/2006,"1,270.09","1,270.09"
4/28/2006,"1,310.61","1,310.61"
3/31/2006,"1,294.83","1,294.83"
2/28/2006,"1,280.66","1,280.66"
1/31/2006,"1,280.08","1,280.08"
12/30/2005,"1,248.29","1,248.29"
11/30/2005,"1,249.48","1,249.48"
10/31/2005,"1,207.01","1,207.01"
9/30/2005,"1,228.81","1,228.81"
8/31/2005,"1,220.33","1,220.33"
7/29/2005,"1,234.18","1,234.18"
6/30/2005,"1,191.33","1,191.33"
5/31/2005,"1,191.50","1,191.50"
4/29/2005,"1,156.85","1,156.85"
3/31/2005,"1,180.59","1,180.59"
2/28/2005,"1,203.60","1,203.60"
1/31/2005,"1,181.27","1,181.27"
12/31/2004,"1,211.92","1,211.92"
11/30/2004,"1,173.82","1,173.82"
10/29/2004,"1,130.20","1,130.20"
9/30/2004,"1,114.58","1,114.58"
8/31/2004,"1,104.24","1,104.24"
7/30/2004,"1,101.72","1,101.72"
6/30/2004,"1,140.84","1,140.84"
5/28/2004,"1,120.68","1,120.68"
4/30/2004,"1,107.30","1,107.30"
3/31/2004,"1,126.21","1,126.21"
2/27/2004,"1,144.94","1,144.94"
1/30/2004,"1,131.13","1,131.13"
12/31/2003,"1,111.92","1,111.92"
11/28/2003,"1,058.20","1,058.20"
10/31/2003,"1,050.71","1,050.71"
9/30/2003,995.97,995.97
8/29/2003,"1,008.01","1,008.01"
7/31/2003,990.31,990.31
6/30/2003,974.5,974.5
5/30/2003,963.59,963.59
4/30/2003,916.92,916.92
3/31/2003,848.18,848.18
2/28/2003,841.15,841.15
1/31/2003,855.7,855.7
12/31/2002,879.82,879.82
11/29/2002,936.31,936.31
10/31/2002,885.76,885.76
9/30/2002,815.28,815.28
8/30/2002,916.07,916.07
7/31/2002,911.62,911.62
6/28/2002,989.81,989.81
5/31/2002,"1,067.14","1,067.14"
4/30/2002,"1,076.92","1,076.92"
3/28/2002,"1,147.39","1,147.39"
2/28/2002,"1,106.73","1,106.73"
1/31/2002,"1,130.20","1,130.20"
12/31/2001,"1,148.08","1,148.08"
11/30/2001,"1,139.45","1,139.45"
10/31/2001,"1,059.78","1,059.78"
9/28/2001,"1,040.94","1,040.94"
8/31/2001,"1,133.58","1,133.58"
7/31/2001,"1,211.23","1,211.23"
6/29/2001,"1,224.42","1,224.42"
5/31/2001,"1,255.82","1,255.82"
4/30/2001,"1,249.46","1,249.46"
3/30/2001,"1,160.33","1,160.33"
2/28/2001,"1,239.94","1,239.94"
1/31/2001,"1,366.01","1,366.01"
12/29/2000,"1,320.28","1,320.28"
11/30/2000,"1,314.95","1,314.95"
10/31/2000,"1,429.40","1,429.40"
9/29/2000,"1,436.51","1,436.51"
8/31/2000,"1,517.68","1,517.68"
7/31/2000,"1,430.83","1,430.83"
6/30/2000,"1,454.60","1,454.60"
5/31/2000,"1,420.60","1,420.60"
5/5/2000,"1,432.63","1,432.63"
4/28/2000,"1,452.43","1,452.43"
3/31/2000,"1,498.58","1,498.58"
2/29/2000,"1,366.42","1,366.42"
1/31/2000,"1,394.46","1,394.46"
